wordInSourceText;showWord;start;end;minutes;seconds;milliseconds;startTS;endTS;Überlappung;comment
neuritic placques;senile Plaques;00:06:19.200;00:06:24.200;6;19;20;379200;384200;ok;
1997;1997;00:06:32.270;00:06:37.270;6;32;27;392270;397270;ok;
Reagan criteria;Reagan Kriterien;00:06:34.670;00:06:39.670;6;34;67;394670;399670;Überlappung;
placques;Plaques;00:06:44.730;00:06:49.730;6;44;73;404730;409730;ok;
Kentucky;Kentucky;00:06:55.800;00:07:00.800;6;55;80;415800;420800;ok;
computer-assisted image analysis;computer-gestützte Bildanalyse;00:06:57.730;00:07:02.730;6;57;73;417730;422730;Überlappung;
neuropil threads;Neuopilfäden;00:07:03.400;00:07:08.400;7;3;40;423400;428400;ok;
neuritic placques density;Plaque-Dichte;00:07:19.200;00:07:24.200;7;19;20;439200;444200;ok;
San Diego;San Diego;00:07:31.70;00:07:36.70;7;31;7;451070;456070;ok;
immunostain sections;immungefärbte Gewebeschnitte ;00:07:33.370;00:07:38.370;7;33;37;453370;458370;Überlappung;
neocortex;Neokortex;00:07:37.500;00:07:42.500;7;37;50;457500;462500;Überlappung;
synaptic density;Synapsendichte;00:07:42.570;00:07:47.570;7;42;57;462570;467570;ok;
synapse loss;Synapsenatrophie;00:07:51.900;00:07:56.900;7;51;90;471900;476900;ok;
years 2000's;2000-er;00:08:05.70;00:08:10.70;8;5;7;485070;490070;ok;
whole slide imaging;Objektträgerdigitalisierung;00:08:06.730;00:08:11.730;8;6;73;486730;491730;Überlappung;
2 hours;2 Stunden;00:08:23.500;00:08:28.500;8;23;50;503500;508500;ok;
10 years;10 Jahre;00:08:33.800;00:08:38.800;8;33;80;513800;518800;ok;
3 miutes;3 Minuten;00:08:35.700;00:08:40.700;8;35;70;515700;520700;Überlappung;
tumour board;Tumorkonferenz;00:09:23.400;00:09:28.400;9;23;40;563400;568400;ok;
optical microscope;Lichtmikroskop;00:09:33.870;00:09:38.870;9;33;87;573870;578870;ok;
computer-assisted image analysis;computergestützte Bildanalyse;00:10:15.230;00:10:20.230;10;15;23;615230;620230;ok;
neurofibrallary tangles;Neurofibrillen;00:10:50.700;00:10:55.700;10;50;70;650700;655700;ok;
neuritic placques;Plaque-Dichte;00:10:53.470;00:10:58.470;10;53;47;653470;658470;Überlappung;
tissue elements;Gewebeteile;00:11:16.30;00:11:21.30;11;16;3;676030;681030;ok;
non-canoncial lesions;nicht-klassifizierte Läsionen;00:11:19.70;00:11:24.70;11;19;7;679070;684070;Überlappung;
dytrophic neurites;dystrophische Neurititen;00:11:24.270;00:11:29.270;11;24;27;684270;689270;ok;
